" There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Bank","银行"
"Service Type","服务类型"
"Enabled","启用"
"English","英语"
"Error occured","发生错误"
"Key","加密号"
"New order status","新的订单号状态"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Site code","网站代码"
"Sort order","排序方法"
"Spain","西班牙"
"Test mode","测试模式"
"There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Title","标题"
"Transaction Description","交易描述"
"Products","担保支付(实物产品)"
"Virtual Products","即时支付(虚拟产品)"
"You will be redirected to 99Bill website when you place an order.","下订单时，会转向快钱网站。"
"You will be redirected to 99Bill in a few seconds.","您很快将会转向快钱网站"
"Gateway","接口地址"
"Partner ID","合作伙伴ID (即Partner ID)"
"Security Code","安全校验号"
"Seller Email","快钱账号(邮件地址或ID)"
"Transport","传输协议"
"Order status when payment accepted by 99Bill","快钱订单接受状态"
"Order status when payment refused by 99Bill","快钱订单拒绝状态"
"Payment from applicable countries","支付允许国家"
"Security Key","密钥"
"Partner ID(Only For 99Bill Agency,Optional)","快钱合作伙伴(快钱代理,可选)"
"REDO Flag(Default is 0)","REDO 标识(默认为0)"
"Payment Type(00 -- Combination; 10 -- C/D Card; 11 -- Telephone Bank ; 12 99Bill Account; 13 Offline; 14 B2B)","支付类型 (00 -- 组合方式; 10 --借贷卡; 11 --电话银行; 12 快钱账号; 13 离线; 14 B2B)"
"Bank ID","银行ID"
"Input Charset(1 -- UTF-8; 2 -- GBK; 3 -- gb2312)","字符编码(1 -- UTF-8; 2 -- GBK; 3 -- gb2312)"
"Background URL","后台回调(Background)URL"
"Display Language(1 -- Chinese; 2 -- English)","显示语言( 1 -- 中文; 2 -- 英文)"
"Page URL","页面跳转(Page)URL"
"Ext Field 2(Optional)","扩展字段 2(可选)"
"Ext Field 1(Optional)","扩展字段 1(可选)"
"CosmoCommerce 99Bill Payment","CosmoCommerce 快钱支付网关"